episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/mean_q,info/learner/default_policy/max_q,info/learner/default_policy/min_q
-92.28427124643343,-92.28427124643343,-92.28427124643343,2352.0,1,1,2500,2500,False,1,1,05878059919d424fbf23a02d419b2325,2021-04-01_18-02-40,1617296560,70.43921184539795,70.43921184539795,15297,alexanders-mbp.lan,192.168.86.244,70.43921184539795,0,1,ddc80_00005,[-92.28427124643343],[2352],0.5689481409584604,1.1199732295802383,0.14972896492037951,1.5423493307144915,0.0,5.689,44997.415,3.687,2500,2500,256256,256256,2500,1001,58.879000000000005,62.381,-0.14640944,-0.045594797,-0.4155258
-43.874445359071764,-92.28427124643343,-68.0793583027526,2352.0,1,1,5000,5000,False,2,2,05878059919d424fbf23a02d419b2325,2021-04-01_18-05-22,1617296722,161.62749409675598,232.06670594215393,15297,alexanders-mbp.lan,192.168.86.244,232.06670594215393,0,2,ddc80_00005,"[-43.874445359071764, -92.28427124643343]","[2352, 2352]",0.580889434928313,1.1350619531160087,0.15264328781362102,1.5339644692281367,0.0,7.386,34660.76,4.442,5000,5000,896256,896256,5000,3501,63.30087336244542,61.109170305676855,-0.21586132,-0.081121795,-0.47066513
-33.45333418877986,-92.28427124643343,-56.53735026476169,2352.0,1,1,7500,7500,False,3,3,05878059919d424fbf23a02d419b2325,2021-04-01_18-08-20,1617296900,178.0021231174469,410.06882905960083,15297,alexanders-mbp.lan,192.168.86.244,410.06882905960083,0,3,ddc80_00005,"[-33.45333418877986, -92.28427124643343, -43.874445359071764]","[2352, 2352, 2352]",0.5950435180738269,1.1571413329998654,0.1562083901090222,1.5466444881465744,0.0,6.171,41483.962,3.459,7500,7500,1536256,1536256,7500,6001,73.32539682539682,61.23055555555555,-0.23836324,-0.069918506,-0.56527126
-32.538395953222796,-92.28427124643343,-50.53761168687696,2352.0,1,1,10000,10000,False,4,4,05878059919d424fbf23a02d419b2325,2021-04-01_18-11-29,1617297089,189.01298189163208,599.0818109512329,15297,alexanders-mbp.lan,192.168.86.244,599.0818109512329,0,4,ddc80_00005,"[-32.538395953222796, -92.28427124643343, -43.874445359071764, -33.45333418877986]","[2352, 2352, 2352, 2352]",0.6089330161834705,1.1771937121235287,0.1591997557388079,1.5625212218271514,0.0,7.373,34723.418,4.803,10000,10000,2176256,2176256,10000,8501,78.6265917602996,61.483520599250944,-0.24534369,-0.07032442,-0.658918
-32.538395953222796,-92.28427124643343,-47.79584774058687,2352.0,1,1,12500,12500,False,5,5,05878059919d424fbf23a02d419b2325,2021-04-01_18-14-34,1617297274,184.68451976776123,783.7663307189941,15297,alexanders-mbp.lan,192.168.86.244,783.7663307189941,0,5,ddc80_00005,"[-36.82879195542655, -92.28427124643343, -43.874445359071764, -33.45333418877986, -32.538395953222796]","[2352, 2352, 2352, 2352, 2352]",0.6190262701204583,1.1917674127036268,0.16133037262065275,1.5742335976577402,0.0,8.257,31005.221,4.789,12500,12500,2816256,2816256,12500,11001,82.23358778625956,61.84427480916031,-0.26663634,-0.080583304,-0.5950915
-30.333790314801536,-92.28427124643343,-44.88550483628932,2352.0,1,1,15000,15000,False,6,6,05878059919d424fbf23a02d419b2325,2021-04-01_18-17-42,1617297462,187.87202906608582,971.63835978508,15297,alexanders-mbp.lan,192.168.86.244,971.63835978508,0,6,ddc80_00005,"[-30.333790314801536, -92.28427124643343, -43.874445359071764, -33.45333418877986, -32.538395953222796, -36.82879195542655]","[2352, 2352, 2352, 2352, 2352, 2352]",0.6268933102831308,1.2039258727774167,0.16309643832099777,1.584593900387653,0.0,6.404,39972.966,3.944,15000,15000,3456256,3456256,15000,13501,76.81879699248121,61.80939849624061,-0.28367388,-0.06362162,-0.56108236
-27.507486782175498,-92.28427124643343,-42.40293082855878,2352.0,1,1,17500,17500,False,7,7,05878059919d424fbf23a02d419b2325,2021-04-01_18-20-53,1617297653,190.33263897895813,1161.970998764038,15297,alexanders-mbp.lan,192.168.86.244,1161.970998764038,0,7,ddc80_00005,"[-27.507486782175498, -92.28427124643343, -43.874445359071764, -33.45333418877986, -32.538395953222796, -36.82879195542655, -30.333790314801536]","[2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.6334693597853379,1.214525540157542,0.1646160065222146,1.5937495252495562,0.0,8.138,31456.481,4.517,17500,17500,4096256,4096256,17500,16001,78.64185185185185,62.36740740740741,-0.27846816,-0.0620667,-0.69466794
-27.37909819986365,-92.28427124643343,-40.52495174997189,2352.0,1,1,20000,20000,False,8,8,05878059919d424fbf23a02d419b2325,2021-04-01_18-24-12,1617297852,198.78241109848022,1360.7534098625183,15297,alexanders-mbp.lan,192.168.86.244,1360.7534098625183,0,8,ddc80_00005,"[-27.37909819986365, -92.28427124643343, -43.874445359071764, -33.45333418877986, -32.538395953222796, -36.82879195542655, -30.333790314801536, -27.507486782175498]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.6392287977483456,1.224165548103406,0.1659553618072579,1.6025671879703567,0.0,6.449,39696.908,4.178,20000,20000,4736256,4736256,20000,18501,71.9975,62.86035714285715,-0.30410743,-0.0579724,-0.72585547
-25.985250791823045,-92.28427124643343,-38.90942942128869,2352.0,1,1,22500,22500,False,9,9,05878059919d424fbf23a02d419b2325,2021-04-01_18-27-29,1617298049,196.75304293632507,1557.5064527988434,15297,alexanders-mbp.lan,192.168.86.244,1557.5064527988434,0,9,ddc80_00005,"[-25.985250791823045, -92.28427124643343, -43.874445359071764, -33.45333418877986, -32.538395953222796, -36.82879195542655, -30.333790314801536, -27.507486782175498, -27.37909819986365]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.6448205552210795,1.2325494647418183,0.16708482825875515,1.6103509756217713,0.0,6.886,37174.921,3.985,22500,22500,5376256,5376256,22500,21001,84.63870967741936,62.810752688172045,-0.2975574,-0.067362085,-0.6848486
-25.985250791823045,-92.28427124643343,-37.74643583164952,2352.0,1,1,25000,25000,False,10,10,05878059919d424fbf23a02d419b2325,2021-04-01_18-30-41,1617298241,192.1225962638855,1749.6290490627289,15297,alexanders-mbp.lan,192.168.86.244,1749.6290490627289,0,10,ddc80_00005,"[-27.279493524897077, -92.28427124643343, -43.874445359071764, -33.45333418877986, -32.538395953222796, -36.82879195542655, -30.333790314801536, -27.507486782175498, -27.37909819986365, -25.985250791823045]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.6496104661784057,1.2396139648373077,0.16803985684133688,1.6170949230089413,0.0,8.644,29614.255,5.72,25000,25000,6016256,6016256,25000,23501,85.2452205882353,62.23235294117647,-0.31668827,-0.08452353,-0.67339087
